word,pos,meaningZh,exampleEn,exampleZh,level,topicTag
"able","adj.","能;有能力的","","","7000","7000-words"
"above","adj.","上文的,前述的","","","7000","7000-words"
"adult","adj.","成年的;成熟的;色情的","","","7000","7000-words"
"afraid","adj.","害怕","","","7000","7000-words"
"all","adj.","所有的;全部","","","7000","7000-words"
"alone","adj.","單獨的;孤單的","","","7000","7000-words"
"angry","adj.","生氣的","","","7000","7000-words"
"another","adj.","另一個","","","7000","7000-words"
"any","adj.","任何的","","","7000","7000-words"
"back","adj.","後面的;拖欠的;過去的","","","7000","7000-words"
"bad","adj.","壞的","","","7000","7000-words"
"basic","adj.","基本的","","","7000","7000-words"
"beautiful","adj.","漂亮的","","","7000","7000-words"
"best","adj.","最好的;最熟練的;最適當的","","","7000","7000-words"
"better","adj.","較佳的;更好的;更適當的","","","7000","7000-words"
"big","adj.","大的","","","7000","7000-words"
"black","adj.","黑色的","","","7000","7000-words"
"blue","adj.","藍色的","","","7000","7000-words"
"born","adj.","出生的;誕生的","","","7000","7000-words"
"both","adj.","兩者","","","7000","7000-words"
"bottom","adj.","最低的;最後的,最下的","","","7000","7000-words"
"brave","adj.","勇敢的","","","7000","7000-words"
"bright","adj.","光亮的","","","7000","7000-words"
"brown","adj.","褐色的;棕色的","","","7000","7000-words"
"busy","adj.","忙碌的","","","7000","7000-words"
"careful","adj.","小心的","","","7000","7000-words"
"certain","adj.","肯定的","","","7000","7000-words"
"chief","adj.","為首的;主要的","","","7000","7000-words"
"clean","adj.","乾淨的","","","7000","7000-words"
"clear","adj.","清楚的;晴朗的","","","7000","7000-words"
"close","adj.","近的;密切的","","","7000","7000-words"
"cold","adj.","寒冷的","","","7000","7000-words"
"common","adj.","常見的","","","7000","7000-words"
"cool","adj.","涼快的;很棒的;酷","","","7000","7000-words"
"correct","adj.","正確的","","","7000","7000-words"
"cute","adj.","可愛的","","","7000","7000-words"
"dark","adj.","黑暗的","","","7000","7000-words"
"dead","adj.","死的","","","7000","7000-words"
"dear","adj.","親愛的","","","7000","7000-words"
"deep","adj.","深的","","","7000","7000-words"
"different","adj.","不同的","","","7000","7000-words"
"difficult","adj.","困難的","","","7000","7000-words"
"direct","adj.","直接的","","","7000","7000-words"
"dirty","adj.","骯髒的","","","7000","7000-words"
"down","adj.","情緒低落,消沈;(分期付款的)第一期的","","","7000","7000-words"
"downstairs","adj.","樓下的","","","7000","7000-words"
"dry","adj.","乾的","","","7000","7000-words"
